RPM,Efficiency %,Power (W),Torque (Nm),Current (A),RPM^2,Power Fit (W),Torque Fit (Nm),Current Fit (A)
3900.0,64.18914732891761,1043.5417857088069,2.5551512849,135.477442986,15210000.0,1043.5417857088053,2.555151284899998,135.47744298599991
4000.0,65.76840191038723,1020.8703157035264,2.437148355,129.35167016,16000000.0,1020.8703157035247,2.437148354999998,129.3516701599999
4100.0,67.33753616030698,995.72739811374,2.3191454250999994,123.225897334,16810000.0,995.7273981137387,2.3191454250999977,123.22589733399991
4200.0,68.8949618262581,968.1130329394476,2.2011424952,117.10012450800002,17640000.0,968.1130329394464,2.2011424951999983,117.10012450799991
4300.0,70.43873997033951,938.0272201806492,2.0831395653,110.97435168200002,18490000.0,938.0272201806474,2.083139565299998,110.9743516819999
4400.0,71.96647852526172,905.4699598373444,1.9651366353999995,104.84857885600002,19360000.0,905.4699598373427,1.9651366353999977,104.8485788559999
4500.0,73.47519171043272,870.4412519095339,1.8471337055,98.72280603000002,20250000.0,870.4412519095322,1.8471337054999974,98.7228060299999
4600.0,74.96110364592433,832.941096397217,1.7291307755999998,92.597033204,21160000.0,832.9410963972155,1.7291307755999972,92.5970332039999
4700.0,76.41936849249213,792.969493300394,1.6111278456999996,86.47126037800001,22090000.0,792.9694933003925,1.6111278456999978,86.4712603779999
4800.0,77.84366256757941,750.5264426190649,1.4931249157999993,80.34548755200001,23040000.0,750.5264426190633,1.4931249157999975,80.3454875519999
4900.0,79.22557447148276,705.6119443532303,1.3751219859,74.219714726,24010000.0,705.6119443532284,1.3751219858999972,74.21971472599989
5000.0,80.55366602576935,658.2259985028891,1.2571190559999996,68.0939419,25000000.0,658.2259985028877,1.257119055999997,68.09394189999989
5100.0,81.81197623432973,608.3686050680418,1.1391161260999991,61.968169074,26010000.0,608.3686050680403,1.1391161260999967,61.96816907399989
5200.0,82.97754057378395,556.0397640486889,1.0211131962,55.842396248,27040000.0,556.0397640486872,1.0211131961999973,55.842396247999886
5300.0,84.01607633833312,501.2394754448295,0.9031102662999996,49.716623422,28090000.0,501.23947544482735,0.903110266299997,49.716623421999884
5400.0,84.87402998302652,443.9677392564639,0.7851073363999994,43.590850596,29160000.0,443.9677392564622,0.7851073363999967,43.59085059599988
5500.0,85.46282261451735,384.2245554835928,0.6671044065,37.46507776999999,30250000.0,384.22455548359085,0.6671044064999965,37.46507776999988
5600.0,85.62461864358849,322.0099241262152,0.5491014765999997,31.33930494399999,31360000.0,322.00992412621326,0.5491014765999962,31.339304943999878
5700.0,85.04819421969158,257.3238451843314,0.4310985466999995,25.21353211799999,32490000.0,257.323845184329,0.4310985466999968,25.213532117999875
5800.0,83.02280523904639,190.1663186579416,0.3130956167999992,19.087759291999987,33640000.0,190.16631865793988,0.31309561679999653,19.087759291999873
5900.0,77.49413053779884,120.53734454704616,0.1950926868999998,12.961986465999985,34810000.0,120.53734454704409,0.19509268689999626,12.961986465999871
6000.0,59.04453035258016,48.43692285164418,0.0770897569999995,6.836213639999983,36000000.0,48.43692285164161,0.07708975699999598,6.836213639999869
6065.328680453382,0.0,0.0,0.0,2.8343270852023466,36788212.00193036,-1.8189894035458565e-12,-2.6645352591003757e-15,2.834327085202233
